application_id,age,annual_income,employment_length,loan_amount,loan_purpose,interest_rate,dti_ratio,num_open_accounts,num_past_delinquencies,home_ownership,credit_score,months_since_last_delinq,default
9650,41,119691.0,4.9,21125.0,car,8.17,0.356,6,1,rent,704.0,20.0,0
9651,35,106282.0,13.4,9877.0,car,10.08,0.238,9,0,rent,726.0,,0
9652,41,55369.0,0.2,8383.0,car,10.66,0.21,11,1,mortgage,683.0,50.0,0
9653,62,69668.0,6.2,23332.0,other,9.39,0.302,8,1,rent,693.0,14.0,0
9654,29,30000.0,12.1,12842.0,medical,7.19,0.3,9,0,rent,788.0,,0
9655,69,74576.0,4.5,16434.0,debt_consolidation,11.83,0.488,9,0,rent,731.0,,0
9656,41,68056.0,0.3,26956.0,debt_consolidation,9.06,0.435,4,0,rent,751.0,,0
9657,63,104665.0,4.7,22119.0,debt_consolidation,12.2,0.202,5,1,rent,,11.0,0
9658,60,165749.0,21.2,11651.0,debt_consolidation,7.93,0.19,8,0,mortgage,743.0,,0
9659,60,101758.0,5.1,25465.0,car,5.36,0.218,3,0,mortgage,742.0,,0
9660,66,123107.0,9.7,29538.0,medical,12.17,0.388,6,0,rent,,,0
9661,30,62613.0,5.5,38770.0,debt_consolidation,10.58,0.387,2,0,rent,729.0,,0
9662,50,125286.0,10.5,13969.0,debt_consolidation,10.53,0.282,5,1,mortgage,666.0,4.0,0
9663,25,61619.0,0.2,14879.0,medical,9.54,0.319,6,0,mortgage,729.0,,0
9664,35,108438.0,6.0,9395.0,other,14.29,0.423,6,1,rent,639.0,22.0,1
9665,23,87025.0,,26660.0,debt_consolidation,5.59,0.221,6,1,mortgage,739.0,23.0,0
9666,55,86024.0,8.8,28229.0,other,8.92,0.284,6,1,rent,717.0,27.0,0
9667,51,35319.0,3.4,17672.0,car,8.75,0.256,6,0,mortgage,711.0,,0
9668,58,119670.0,11.9,42883.0,medical,10.5,0.396,6,1,rent,704.0,120.0,0
9669,29,74388.0,2.0,20676.0,debt_consolidation,10.54,0.395,5,0,mortgage,703.0,,0
9670,37,90023.0,1.4,10428.0,debt_consolidation,7.29,0.096,1,1,rent,746.0,7.0,0
9671,54,82599.0,0.3,18076.0,debt_consolidation,9.51,0.352,6,1,rent,704.0,56.0,0
9672,62,92838.0,7.3,14742.0,debt_consolidation,7.72,0.192,9,0,mortgage,795.0,,0
9673,65,135887.0,2.2,22570.0,debt_consolidation,9.57,0.385,9,1,own,721.0,26.0,0
9674,24,49246.0,3.9,77645.0,car,18.32,0.578,6,2,mortgage,611.0,14.0,1
9675,41,82765.0,,40826.0,debt_consolidation,6.65,0.23,4,1,mortgage,721.0,12.0,0
9676,21,42199.0,4.1,33038.0,medical,8.57,0.385,7,0,rent,698.0,,0
9677,61,96242.0,4.3,7329.0,debt_consolidation,13.75,0.332,6,1,rent,633.0,2.0,1
9678,27,69456.0,7.3,38238.0,debt_consolidation,16.84,0.474,4,1,mortgage,655.0,9.0,1
9679,62,56162.0,5.4,25962.0,debt_consolidation,12.46,0.532,10,0,own,642.0,,0
9680,28,65075.0,3.7,38833.0,debt_consolidation,11.22,0.429,9,0,mortgage,692.0,,0
9681,21,46355.0,1.8,5961.0,debt_consolidation,10.59,0.399,5,1,rent,681.0,24.0,0
9682,64,63540.0,2.7,10755.0,debt_consolidation,9.13,0.361,5,1,mortgage,726.0,16.0,0
9683,42,79089.0,1.8,24953.0,medical,13.77,0.464,1,1,own,650.0,11.0,0
9684,42,76073.0,14.3,6336.0,debt_consolidation,8.81,0.398,11,0,mortgage,724.0,,0
9685,53,30074.0,8.3,41269.0,debt_consolidation,11.84,0.332,4,1,rent,688.0,2.0,0
9686,34,76254.0,6.8,23932.0,debt_consolidation,12.34,0.29,4,0,own,672.0,,0
9687,55,62890.0,19.5,18179.0,debt_consolidation,11.49,0.399,6,1,mortgage,624.0,40.0,0
9688,42,55951.0,0.1,9795.0,debt_consolidation,12.03,0.35,4,1,mortgage,645.0,18.0,0
9689,34,38866.0,3.3,11086.0,debt_consolidation,10.7,0.409,4,0,own,689.0,,0
9690,40,65351.0,,8468.0,debt_consolidation,7.23,0.394,9,0,mortgage,706.0,,0
9691,21,47318.0,14.5,14324.0,debt_consolidation,14.22,0.597,5,0,rent,616.0,,0
9692,36,115759.0,0.7,28142.0,debt_consolidation,12.41,0.329,3,2,rent,621.0,11.0,0
9693,50,31990.0,26.2,13340.0,debt_consolidation,10.99,0.485,6,0,rent,680.0,,0
9694,27,40199.0,7.7,28317.0,debt_consolidation,10.48,0.304,7,0,mortgage,724.0,,1
9695,26,38767.0,5.0,7273.0,other,11.05,0.297,8,2,rent,658.0,9.0,1
9696,53,80180.0,20.6,5545.0,debt_consolidation,8.26,0.349,4,0,mortgage,707.0,,0
9697,42,114300.0,0.6,33133.0,other,10.46,0.376,4,0,rent,682.0,,0
9698,27,77790.0,,10994.0,debt_consolidation,10.81,0.507,7,0,rent,694.0,,0
9699,58,44708.0,0.2,14879.0,other,10.06,0.308,7,1,mortgage,678.0,1.0,0
9700,59,60611.0,5.1,9746.0,debt_consolidation,15.29,0.2,4,2,rent,661.0,35.0,1
9701,22,41850.0,0.6,19183.0,other,7.86,0.211,2,0,mortgage,731.0,,0
9702,31,79758.0,2.0,45400.0,debt_consolidation,11.83,0.202,8,0,rent,698.0,,0
9703,39,54190.0,14.5,10277.0,debt_consolidation,7.05,0.127,3,0,mortgage,757.0,,0
9704,57,38554.0,0.3,6358.0,debt_consolidation,17.82,0.421,10,0,own,686.0,,1
9705,24,79297.0,4.0,8105.0,other,8.12,0.164,4,1,mortgage,671.0,11.0,0
9706,61,131082.0,5.5,16807.0,other,7.92,0.191,12,0,rent,798.0,,0
9707,36,60221.0,2.2,8039.0,car,13.09,0.415,13,1,rent,690.0,1.0,1
9708,27,65483.0,2.9,9684.0,debt_consolidation,8.47,0.191,9,0,rent,675.0,,0
9709,64,38242.0,4.4,4646.0,medical,7.14,0.074,5,0,rent,741.0,,0
9710,25,30000.0,4.7,19377.0,car,12.75,0.393,4,0,rent,604.0,,0
9711,27,30000.0,3.5,25632.0,car,10.05,0.479,4,0,rent,667.0,,0
9712,68,75229.0,2.0,9606.0,debt_consolidation,9.37,0.171,8,0,rent,677.0,,0
9713,46,59945.0,1.2,10773.0,car,12.21,0.432,7,0,mortgage,659.0,,0
9714,44,87123.0,,18343.0,car,7.18,0.18,5,0,rent,699.0,,0
9715,55,65954.0,4.2,22546.0,debt_consolidation,9.24,0.495,8,1,mortgage,735.0,5.0,0
9716,52,110755.0,13.3,17020.0,other,12.95,0.465,6,1,rent,649.0,1.0,0
9717,51,104614.0,6.6,17331.0,other,7.75,0.384,4,0,rent,729.0,,0
9718,22,52098.0,0.2,13064.0,debt_consolidation,13.03,0.484,7,2,mortgage,702.0,1.0,1
9719,48,44294.0,6.8,23999.0,car,8.07,0.384,8,0,mortgage,714.0,,0
9720,34,30000.0,8.3,21523.0,other,6.16,0.247,5,0,rent,761.0,,0
9721,61,141523.0,0.5,9716.0,debt_consolidation,12.03,0.375,4,0,mortgage,680.0,,0
9722,46,45054.0,4.1,13055.0,debt_consolidation,14.54,0.486,2,0,rent,672.0,,0
9723,27,31633.0,5.9,23003.0,other,9.16,0.402,9,0,mortgage,715.0,,0
9724,65,80235.0,13.9,22749.0,other,9.77,0.323,6,0,rent,710.0,,0
9725,35,33232.0,0.6,8850.0,debt_consolidation,8.35,0.275,5,0,mortgage,718.0,,0
9726,34,68397.0,8.3,15820.0,car,9.81,0.272,7,0,mortgage,677.0,,0
9727,67,65670.0,0.2,12752.0,car,8.61,0.354,11,0,rent,695.0,,0
9728,59,111418.0,5.4,5273.0,car,9.7,0.358,8,0,own,698.0,,0
9729,63,109235.0,0.1,41399.0,other,10.51,0.291,3,1,rent,676.0,75.0,0
9730,54,117848.0,0.1,13096.0,medical,10.22,0.35,8,0,mortgage,731.0,,0
9731,66,83436.0,7.6,10070.0,car,10.34,0.392,8,1,mortgage,690.0,4.0,0
9732,26,41911.0,4.6,15860.0,debt_consolidation,8.93,0.243,9,0,mortgage,672.0,,0
9733,50,44082.0,7.6,12392.0,car,8.13,0.401,2,0,mortgage,749.0,,0
9734,35,51116.0,2.6,36492.0,car,14.29,0.491,3,0,own,702.0,,1
9735,40,163633.0,2.7,32434.0,debt_consolidation,10.4,0.242,7,1,rent,718.0,11.0,0
9736,32,57055.0,19.8,16014.0,car,10.05,0.24,3,0,own,711.0,,0
9737,31,68236.0,6.2,28114.0,medical,10.21,0.261,2,0,own,688.0,,0
9738,43,134236.0,6.3,16496.0,debt_consolidation,10.24,0.312,10,0,mortgage,708.0,,0
9739,66,85271.0,6.3,5944.0,car,10.18,0.34,7,0,rent,673.0,,0
9740,52,50701.0,19.2,16440.0,debt_consolidation,7.32,0.433,6,0,mortgage,748.0,,0
9741,38,91647.0,10.8,11642.0,debt_consolidation,5.0,0.173,7,0,rent,772.0,,0
9742,42,55595.0,10.6,10514.0,car,8.97,0.239,9,1,mortgage,707.0,29.0,0
9743,47,78832.0,8.5,23055.0,car,8.92,0.247,8,0,rent,678.0,,0
9744,33,80821.0,4.0,56720.0,debt_consolidation,12.14,0.53,7,0,mortgage,669.0,,0
9745,47,55411.0,6.4,10242.0,other,11.63,0.339,7,1,mortgage,596.0,33.0,0
9746,55,78395.0,9.0,18818.0,debt_consolidation,10.47,0.381,8,2,mortgage,,8.0,0
9747,33,131867.0,4.0,17148.0,medical,8.2,0.456,10,1,rent,673.0,44.0,0
9748,50,53023.0,1.5,52387.0,debt_consolidation,13.67,0.377,3,1,rent,737.0,52.0,1
9749,56,131035.0,4.3,12542.0,other,6.34,0.056,6,0,rent,743.0,,0
9750,46,52788.0,0.5,45489.0,medical,13.15,0.473,8,0,rent,673.0,,0
9751,35,146033.0,1.1,5418.0,car,8.99,0.184,6,0,mortgage,763.0,,0
9752,48,47343.0,,11130.0,car,9.52,0.378,8,0,rent,701.0,,0
9753,60,61885.0,1.0,27211.0,other,13.07,0.443,4,0,rent,663.0,,0
9754,32,125823.0,3.7,4552.0,other,8.4,0.272,6,0,own,705.0,,0
9755,49,140617.0,0.3,13775.0,other,10.6,0.588,5,0,rent,694.0,,0
9756,55,104187.0,2.3,7085.0,car,6.32,0.299,5,0,rent,799.0,,0
9757,37,40329.0,0.8,7130.0,other,10.44,0.352,4,1,mortgage,736.0,16.0,0
9758,40,69220.0,0.2,45617.0,car,10.04,0.271,4,0,mortgage,683.0,,0
9759,65,75723.0,5.0,29723.0,car,13.23,0.376,5,0,rent,669.0,,0
9760,39,45136.0,3.0,18016.0,debt_consolidation,9.49,0.283,5,0,rent,716.0,,0
9761,50,96182.0,4.7,34863.0,medical,10.51,0.235,6,0,own,688.0,,0
9762,28,43986.0,0.3,21799.0,debt_consolidation,7.4,0.136,3,0,own,732.0,,0
9763,67,42743.0,8.7,29155.0,car,5.0,0.174,3,0,rent,795.0,,0
9764,50,33895.0,0.8,19350.0,other,11.98,0.367,7,3,own,638.0,2.0,0
9765,59,158882.0,13.5,12836.0,debt_consolidation,7.75,0.344,8,0,rent,792.0,,0
9766,51,56151.0,18.5,10609.0,debt_consolidation,7.18,0.331,7,0,mortgage,764.0,,0
9767,38,52937.0,7.6,14166.0,other,9.62,0.367,7,0,rent,747.0,,0
9768,38,41495.0,2.3,6102.0,other,8.4,0.171,9,0,rent,732.0,,0
9769,56,134079.0,17.9,17466.0,debt_consolidation,10.58,0.358,10,0,mortgage,764.0,,0
9770,63,40281.0,1.7,40531.0,other,13.99,0.515,6,0,rent,623.0,,0
9771,27,36080.0,0.8,9762.0,car,9.4,0.351,6,0,rent,734.0,,0
9772,63,64856.0,8.6,15172.0,debt_consolidation,8.03,0.264,6,0,rent,801.0,,0
9773,62,73883.0,0.8,4506.0,debt_consolidation,9.5,0.299,6,1,mortgage,,26.0,0
9774,26,82946.0,7.0,17185.0,other,9.04,0.246,5,2,rent,694.0,6.0,0
9775,26,45503.0,2.1,95731.0,debt_consolidation,11.52,0.527,4,0,own,714.0,,1
9776,55,144437.0,4.9,18107.0,car,9.53,0.245,7,0,own,725.0,,0
9777,63,55481.0,0.1,29459.0,car,9.01,0.334,7,2,rent,733.0,21.0,0
9778,40,42366.0,2.8,12165.0,debt_consolidation,7.66,0.171,7,0,rent,752.0,,0
9779,53,43431.0,4.8,23371.0,debt_consolidation,7.14,0.235,8,0,rent,740.0,,0
9780,70,54693.0,1.1,11228.0,other,11.49,0.561,5,0,rent,684.0,,0
9781,37,38786.0,2.4,18489.0,other,9.97,0.411,7,0,mortgage,685.0,,0
9782,32,89484.0,6.0,5912.0,debt_consolidation,10.1,0.2,5,0,own,684.0,,0
9783,70,49383.0,0.2,31957.0,car,8.0,0.307,5,1,rent,732.0,84.0,0
9784,35,61138.0,4.0,21946.0,car,9.45,0.282,11,0,rent,768.0,,0
9785,44,42872.0,5.7,25086.0,debt_consolidation,12.18,0.222,6,1,own,658.0,27.0,0
9786,43,39954.0,,12622.0,debt_consolidation,9.86,0.34,3,0,rent,703.0,,0
9787,47,113881.0,3.2,21746.0,car,14.16,0.478,6,0,rent,677.0,,0
9788,34,132768.0,1.5,39347.0,debt_consolidation,11.99,0.285,5,0,rent,694.0,,1
9789,54,126970.0,12.8,10393.0,car,11.13,0.399,3,0,mortgage,718.0,,0
9790,55,37181.0,6.9,25733.0,car,14.38,0.669,4,0,mortgage,643.0,,0
9791,31,34843.0,,16196.0,medical,7.8,0.381,1,1,rent,,65.0,0
9792,45,166842.0,1.3,41534.0,debt_consolidation,8.25,0.326,4,0,rent,749.0,,0
9793,23,54040.0,4.7,10555.0,debt_consolidation,9.45,0.373,6,0,own,,,0
9794,32,34381.0,3.6,11887.0,debt_consolidation,9.16,0.341,9,1,mortgage,715.0,1.0,0
9795,70,126089.0,5.7,29386.0,debt_consolidation,10.69,0.255,3,1,mortgage,725.0,8.0,0
9796,46,70975.0,6.4,14793.0,other,7.8,0.394,7,0,rent,759.0,,0
9797,52,91753.0,12.0,21953.0,debt_consolidation,7.47,0.264,6,0,rent,712.0,,0
9798,65,30000.0,8.7,25748.0,medical,17.15,0.342,4,1,rent,622.0,6.0,1
9799,56,62555.0,16.9,18539.0,debt_consolidation,8.61,0.251,8,0,mortgage,718.0,,0
9800,60,113235.0,2.0,5825.0,medical,11.74,0.34,6,1,rent,637.0,28.0,0
9801,56,54310.0,0.6,24333.0,other,8.21,0.168,8,0,mortgage,744.0,,0
9802,45,119406.0,2.2,11014.0,debt_consolidation,5.36,0.203,5,2,rent,732.0,40.0,0
9803,52,39263.0,1.2,6660.0,debt_consolidation,9.55,0.13,7,0,rent,671.0,,0
9804,35,61697.0,1.6,46276.0,debt_consolidation,11.39,0.437,8,0,mortgage,711.0,,0
9805,65,158656.0,17.6,32784.0,other,12.76,0.376,5,2,mortgage,716.0,45.0,0
9806,29,37384.0,,7917.0,debt_consolidation,8.39,0.046,8,0,rent,749.0,,0
9807,65,85515.0,9.1,4010.0,debt_consolidation,16.64,0.424,5,1,rent,651.0,1.0,1
9808,64,98009.0,9.8,14155.0,other,7.38,0.375,5,0,rent,753.0,,0
9809,28,65009.0,9.4,44553.0,debt_consolidation,13.66,0.287,4,0,rent,680.0,,0
9810,56,64738.0,8.2,9049.0,medical,9.45,0.258,4,0,own,746.0,,0
9811,70,52229.0,0.8,12490.0,medical,10.37,0.393,1,0,rent,693.0,,0
9812,49,76400.0,0.7,8471.0,debt_consolidation,12.66,0.442,7,1,rent,652.0,37.0,0
9813,38,63003.0,3.1,19868.0,debt_consolidation,12.96,0.35,5,1,mortgage,644.0,12.0,1
9814,64,39466.0,4.2,15323.0,debt_consolidation,9.88,0.305,5,0,mortgage,735.0,,0
9815,46,112949.0,12.7,10168.0,car,15.62,0.496,4,0,rent,698.0,,1
9816,27,41186.0,1.2,6660.0,medical,10.43,0.258,10,1,rent,664.0,2.0,0
9817,33,34026.0,0.1,18819.0,car,9.53,0.499,7,0,mortgage,689.0,,0
9818,55,55138.0,4.9,27329.0,debt_consolidation,10.62,0.411,5,0,own,707.0,,0
9819,43,45354.0,5.7,11562.0,medical,8.48,0.141,8,1,rent,721.0,113.0,0
9820,31,56504.0,1.0,23941.0,debt_consolidation,10.05,0.317,6,1,rent,660.0,62.0,0
9821,60,42241.0,2.1,15668.0,medical,10.19,0.248,8,1,mortgage,680.0,11.0,0
9822,27,75883.0,2.1,54398.0,other,7.89,0.449,3,0,own,,,0
9823,31,118154.0,7.0,37050.0,debt_consolidation,10.38,0.162,5,1,mortgage,,3.0,0
9824,44,71461.0,1.1,21158.0,debt_consolidation,9.08,0.374,3,0,rent,714.0,,0
9825,22,31447.0,1.1,17130.0,car,9.06,0.156,5,1,rent,704.0,1.0,0
9826,40,44223.0,8.7,17450.0,debt_consolidation,6.24,0.281,1,0,rent,,,0
9827,66,84002.0,0.6,16400.0,car,8.3,0.308,5,1,mortgage,704.0,13.0,0
9828,68,31675.0,0.6,15342.0,other,8.39,0.341,4,0,rent,754.0,,0
9829,64,43251.0,8.3,5610.0,debt_consolidation,11.53,0.307,9,1,mortgage,652.0,7.0,0
9830,37,31266.0,3.2,46385.0,debt_consolidation,12.58,0.627,5,0,rent,640.0,,0
9831,24,64202.0,,8047.0,medical,10.07,0.325,7,0,rent,743.0,,0
9832,61,196436.0,7.0,36254.0,car,8.74,0.278,7,0,mortgage,745.0,,0
9833,39,37613.0,3.6,8338.0,debt_consolidation,11.17,0.441,4,0,own,679.0,,0
9834,58,105645.0,2.0,12602.0,debt_consolidation,11.14,0.27,11,0,own,696.0,,0
9835,26,47849.0,2.4,17277.0,car,10.39,0.449,5,0,own,678.0,,0
9836,54,39600.0,12.9,17340.0,debt_consolidation,12.03,0.506,5,0,own,689.0,,0
9837,50,142098.0,0.9,6548.0,debt_consolidation,8.55,0.393,4,0,rent,727.0,,0
9838,67,201927.0,2.6,27135.0,debt_consolidation,8.38,0.197,9,1,rent,724.0,5.0,0
9839,26,74228.0,1.1,11608.0,other,11.3,0.293,7,1,rent,,5.0,0
9840,41,78941.0,0.9,22923.0,other,9.2,0.163,7,1,mortgage,756.0,37.0,0
9841,70,79679.0,5.5,51683.0,car,14.35,0.387,7,0,mortgage,,,1
9842,40,62395.0,2.4,15978.0,debt_consolidation,8.77,0.114,8,2,mortgage,674.0,2.0,0
9843,53,83172.0,1.1,18581.0,other,5.0,0.19,2,0,mortgage,810.0,,0
9844,29,85062.0,1.2,8259.0,medical,9.88,0.313,8,1,rent,739.0,45.0,0
9845,57,153902.0,2.0,16658.0,car,6.53,0.184,2,1,mortgage,709.0,11.0,0
9846,34,51015.0,5.7,7972.0,car,5.71,0.238,9,0,mortgage,753.0,,0
9847,49,74059.0,13.3,14646.0,medical,5.44,0.251,1,0,mortgage,765.0,,0
9848,64,72382.0,4.1,19974.0,medical,11.79,0.456,6,0,own,688.0,,0
9849,54,113719.0,9.3,7711.0,car,9.74,0.299,2,0,mortgage,744.0,,0
9850,44,200648.0,1.6,9436.0,car,10.12,0.271,6,1,own,698.0,14.0,0
9851,30,101615.0,0.7,23895.0,car,12.29,0.366,4,0,rent,656.0,,0
9852,38,94498.0,5.0,14024.0,debt_consolidation,9.41,0.351,6,0,own,750.0,,0
9853,63,112790.0,10.6,14056.0,other,8.5,0.333,7,0,mortgage,780.0,,0
9854,31,112264.0,2.4,36652.0,debt_consolidation,10.67,0.251,7,1,rent,700.0,8.0,0
9855,53,211532.0,0.4,8081.0,medical,6.19,0.01,3,0,rent,774.0,,0
9856,45,32084.0,3.2,7245.0,medical,6.17,0.092,4,0,own,804.0,,0
9857,37,85947.0,1.8,19377.0,debt_consolidation,8.44,0.396,3,0,mortgage,762.0,,0
9858,56,30000.0,1.1,58485.0,debt_consolidation,11.02,0.657,6,1,mortgage,717.0,67.0,0
9859,39,101790.0,6.8,22811.0,debt_consolidation,11.42,0.397,3,0,rent,686.0,,0
9860,35,83169.0,16.7,15550.0,car,7.62,0.335,5,0,mortgage,751.0,,0
9861,47,54116.0,0.6,19255.0,debt_consolidation,12.14,0.462,6,0,rent,651.0,,0
9862,58,30000.0,4.6,12672.0,debt_consolidation,8.35,0.326,3,1,mortgage,747.0,63.0,0
9863,64,74835.0,1.9,33509.0,debt_consolidation,12.97,0.27,10,1,rent,618.0,1.0,0
9864,52,78501.0,7.9,9823.0,debt_consolidation,5.0,0.174,5,0,rent,775.0,,0
9865,54,69721.0,,13311.0,other,7.53,0.197,11,0,own,732.0,,0
9866,60,55861.0,4.2,41498.0,debt_consolidation,10.77,0.388,7,0,rent,693.0,,0
9867,34,43112.0,0.6,17506.0,car,9.32,0.374,6,0,rent,730.0,,0
9868,33,62707.0,4.9,25520.0,car,12.51,0.437,4,0,mortgage,674.0,,0
9869,45,47748.0,3.2,9236.0,debt_consolidation,10.01,0.458,9,0,mortgage,687.0,,0
9870,52,102209.0,0.4,10886.0,car,10.1,0.359,7,1,own,,32.0,0
9871,53,68887.0,3.1,16578.0,medical,7.46,0.337,6,0,rent,,,0
9872,28,30000.0,7.9,18037.0,debt_consolidation,11.14,0.433,5,1,mortgage,707.0,16.0,0
9873,60,80000.0,5.4,13441.0,debt_consolidation,10.9,0.331,9,0,mortgage,686.0,,0
9874,39,79933.0,0.5,6898.0,debt_consolidation,10.88,0.431,9,0,mortgage,666.0,,0
9875,64,156001.0,40.0,19980.0,car,9.9,0.353,2,0,mortgage,699.0,,0
9876,57,110551.0,1.1,17427.0,debt_consolidation,8.57,0.191,6,0,own,709.0,,0
9877,70,51706.0,4.2,30258.0,car,12.05,0.399,6,0,mortgage,682.0,,0
9878,52,134889.0,1.6,5887.0,medical,10.41,0.327,5,0,mortgage,693.0,,0
9879,47,37096.0,3.4,8367.0,debt_consolidation,10.22,0.36,8,0,mortgage,669.0,,0
9880,30,63912.0,0.8,10589.0,other,11.69,0.488,7,0,mortgage,,,0
9881,40,93647.0,11.7,4326.0,other,9.72,0.317,3,1,rent,763.0,80.0,0
9882,63,144517.0,0.1,22010.0,debt_consolidation,9.74,0.451,3,0,rent,,,0
9883,40,156055.0,3.7,11231.0,debt_consolidation,8.8,0.204,7,1,own,,12.0,0
9884,23,107533.0,19.4,11532.0,debt_consolidation,7.31,0.332,7,0,mortgage,707.0,,0
9885,33,60358.0,2.7,16168.0,other,10.96,0.413,6,0,mortgage,,,0
9886,50,91242.0,5.5,7872.0,debt_consolidation,11.3,0.241,8,1,own,699.0,96.0,0
9887,52,78556.0,13.8,12651.0,debt_consolidation,12.55,0.445,6,2,rent,723.0,17.0,1
9888,70,56302.0,6.8,27095.0,other,10.42,0.21,10,1,mortgage,686.0,27.0,0
9889,67,72526.0,4.7,5803.0,debt_consolidation,7.82,0.18,6,0,rent,743.0,,0
9890,47,155435.0,1.7,9615.0,other,9.73,0.351,8,0,own,712.0,,0
9891,48,93052.0,2.1,20112.0,medical,8.08,0.283,8,0,mortgage,722.0,,0
9892,61,187555.0,5.6,46946.0,car,9.81,0.239,6,1,mortgage,711.0,5.0,0
9893,23,37228.0,1.9,26868.0,car,18.56,0.696,10,0,rent,609.0,,1
9894,50,59202.0,15.3,17057.0,medical,10.25,0.147,2,0,rent,650.0,,0
9895,44,82137.0,0.7,44124.0,other,9.37,0.407,3,1,own,690.0,2.0,0
9896,60,103189.0,0.4,9523.0,debt_consolidation,5.58,0.139,4,0,mortgage,783.0,,0
9897,61,70443.0,1.4,30127.0,debt_consolidation,12.18,0.28,9,0,rent,651.0,,0
9898,53,102320.0,,22198.0,other,10.99,0.306,3,1,rent,676.0,6.0,0
9899,53,101973.0,1.2,28409.0,debt_consolidation,8.76,0.25,7,1,mortgage,641.0,18.0,0
9900,55,38603.0,13.9,55947.0,car,18.66,0.595,4,1,rent,570.0,8.0,1
9901,50,98663.0,9.2,10845.0,debt_consolidation,8.13,0.164,1,0,rent,732.0,,0
9902,32,103454.0,0.8,13320.0,debt_consolidation,13.2,0.313,9,1,own,581.0,34.0,0
9903,35,74156.0,0.3,15201.0,debt_consolidation,6.02,0.275,7,0,own,,,0
9904,58,31968.0,7.0,32386.0,other,7.12,0.218,8,0,mortgage,767.0,,1
9905,51,62376.0,1.0,6887.0,debt_consolidation,9.14,0.361,10,0,own,735.0,,0
9906,32,77729.0,1.0,31691.0,debt_consolidation,8.25,0.222,5,0,rent,659.0,,0
9907,64,51019.0,14.5,4214.0,medical,11.62,0.312,6,0,mortgage,,,1
9908,70,117123.0,1.3,20797.0,debt_consolidation,12.55,0.156,10,1,mortgage,651.0,40.0,0
9909,52,98607.0,13.5,8659.0,medical,8.28,0.339,8,0,mortgage,769.0,,0
9910,32,67808.0,4.7,13534.0,debt_consolidation,9.67,0.437,9,1,rent,683.0,20.0,0
9911,67,77001.0,0.8,12365.0,debt_consolidation,7.21,0.155,6,0,mortgage,713.0,,0
9912,32,69613.0,,18600.0,car,6.96,0.344,5,0,rent,764.0,,0
9913,42,67295.0,0.5,17840.0,car,13.32,0.159,10,1,rent,688.0,1.0,1
9914,63,42036.0,,36630.0,other,6.5,0.48,5,0,mortgage,,,0
9915,47,57035.0,16.9,7656.0,debt_consolidation,8.8,0.182,7,0,mortgage,737.0,,0
9916,33,66313.0,6.4,16824.0,car,8.92,0.317,5,0,rent,735.0,,0
9917,25,116086.0,,18542.0,medical,11.18,0.283,6,0,mortgage,730.0,,0
9918,39,90579.0,1.3,12985.0,medical,7.81,0.311,3,1,mortgage,742.0,1.0,0
9919,54,139135.0,0.4,16845.0,other,11.73,0.412,8,0,mortgage,703.0,,0
9920,56,38499.0,5.3,13911.0,debt_consolidation,9.59,0.21,4,1,mortgage,717.0,15.0,0
9921,32,54374.0,,41076.0,debt_consolidation,7.71,0.403,5,0,mortgage,757.0,,0
9922,28,158638.0,10.6,25854.0,medical,9.66,0.336,8,0,mortgage,723.0,,0
9923,56,51859.0,2.6,22517.0,other,13.28,0.315,5,3,mortgage,633.0,31.0,0
9924,28,44259.0,0.8,62317.0,debt_consolidation,11.8,0.263,5,1,rent,661.0,55.0,0
9925,24,53936.0,,14591.0,car,8.7,0.255,7,1,rent,,20.0,0
9926,45,169852.0,0.6,25796.0,debt_consolidation,10.0,0.366,7,1,mortgage,722.0,33.0,0
9927,49,51695.0,0.6,10811.0,medical,13.64,0.422,8,0,rent,695.0,,0
9928,33,82487.0,10.1,15780.0,car,9.82,0.286,3,0,rent,649.0,,0
9929,31,75711.0,5.3,13361.0,debt_consolidation,13.29,0.222,8,1,rent,623.0,29.0,0
9930,32,30000.0,,16945.0,debt_consolidation,10.26,0.435,5,0,rent,710.0,,0
9931,38,65517.0,0.8,25440.0,debt_consolidation,8.5,0.284,2,1,rent,726.0,109.0,0
9932,21,46685.0,1.8,15948.0,debt_consolidation,6.6,0.226,1,0,mortgage,761.0,,0
9933,21,81234.0,2.4,19866.0,debt_consolidation,14.51,0.247,5,1,mortgage,606.0,14.0,1
9934,39,145094.0,12.7,11053.0,other,9.35,0.292,3,0,own,653.0,,0
9935,21,51275.0,6.2,8149.0,debt_consolidation,6.07,0.216,9,0,rent,741.0,,0
9936,36,55888.0,,14559.0,car,9.34,0.314,6,0,mortgage,726.0,,0
9937,50,218259.0,2.6,10312.0,other,9.05,0.299,5,0,mortgage,720.0,,0
9938,22,43730.0,5.2,29772.0,debt_consolidation,12.42,0.479,6,1,rent,639.0,23.0,0
9939,51,38606.0,4.4,19293.0,other,9.55,0.169,5,0,own,709.0,,0
9940,52,131992.0,5.2,13432.0,debt_consolidation,9.53,0.298,6,0,mortgage,710.0,,0
9941,49,68358.0,4.9,17874.0,other,7.72,0.382,8,0,rent,,,0
9942,52,80667.0,17.4,16028.0,medical,5.97,0.215,8,0,rent,771.0,,0
9943,61,202661.0,7.7,7925.0,medical,7.48,0.267,6,0,rent,785.0,,0
